gabarit_compose_id;contexte_id;poids;statut
GABC_DNB_GEOM_AMENAGEMENT;CTX_PARCELLE_GAZON;1;ACTIF
GABC_DNB_GEOM_AMENAGEMENT;CTX_TERRAIN_GAZON;1;ACTIF
GABC_DNB_GEOM_AMENAGEMENT;CTX_ESPACE_PAILLAGE;1;ACTIF
GABC_DNB_GEOM_AMENAGEMENT;CTX_MASSIF_GRAVIER;1;ACTIF
GABC_DNB_GEOM_AMENAGEMENT;CTX_VOILE_TISSU;1;ACTIF
GABC_DNB_FONC_TARIFS;CTX_TARIF_PARKING;1;ACTIF
GABC_DNB_FONC_TARIFS;CTX_TARIF_VELO;1;ACTIF
GABC_DNB_FONC_TARIFS;CTX_TARIF_SPORT;1;ACTIF
GABC_DNB_FONC_TARIFS;CTX_TARIF_LIVRAISON;1;ACTIF
GABC_DNB_FONC_TARIFS;CTX_TARIF_MUSEE;1;ACTIF
GABC_DNB_DATA_ENQUETE;CTX_DATA_VELO;1;ACTIF
GABC_DNB_DATA_ENQUETE;CTX_DATA_LECTURE;1;ACTIF
GABC_DNB_DATA_ENQUETE;CTX_DATA_SPORT;1;ACTIF
GABC_DNB_DATA_ENQUETE;CTX_DATA_BUS;1;ACTIF
GABC_DNB_DATA_ENQUETE;CTX_DATA_EXERCICES;1;ACTIF
GABC_DNB_ALGO_PROGRAMME;CTX_ALGO_SCORE;1;ACTIF
GABC_DNB_ALGO_PROGRAMME;CTX_ALGO_JEU;1;ACTIF
GABC_DNB_ALGO_PROGRAMME;CTX_ALGO_MACHINE;1;ACTIF
GABC_DNB_ALGO_PROGRAMME;CTX_ALGO_DEFI;1;ACTIF
GABC_DNB_GEOM_THALES;CTX_OMBRE_ARBRE;1;ACTIF
GABC_DNB_GEOM_THALES;CTX_OMBRE_POTEAU;1;ACTIF
GABC_DNB_GEOM_THALES;CTX_OMBRE_BATIMENT;1;ACTIF
GABC_DNB_GEOM_THALES;CTX_OMBRE_PHARE;1;ACTIF
GABC_DNB_GEOM_THALES;CTX_OMBRE_MAT;1;ACTIF
GABC_DNB_GRAND_CUVE;CTX_PISCINE_VIDANGE;1;ACTIF
GABC_DNB_GRAND_CUVE;CTX_CUVE_VIDANGE;1;ACTIF
GABC_DNB_GRAND_CUVE;CTX_CITERNE_VIDANGE;1;ACTIF
GABC_DNB_GRAND_CUVE;CTX_BASSIN_VIDANGE;1;ACTIF
GABC_DNB_GRAND_CUVE;CTX_RESERVOIR_VIDANGE;1;ACTIF
GABC_DNB_GRAND_CUVE;CTX_RECUPERATEUR_VIDANGE;1;ACTIF
GABC_DNB_ARITH_LOTS;CTX_LOTS_JETONS;1;ACTIF
GABC_DNB_ARITH_LOTS;CTX_LOTS_TICKETS;1;ACTIF
GABC_DNB_ARITH_LOTS;CTX_LOTS_CARTES;1;ACTIF
GABC_DNB_ARITH_LOTS;CTX_LOTS_BADGES;1;ACTIF
GABC_DNB_ARITH_LOTS;CTX_LOTS_BRACELETS;1;ACTIF
GABC_DNB_EVOLUTION_PRIX;CTX_EVOL_VETEMENT;1;ACTIF
GABC_DNB_EVOLUTION_PRIX;CTX_EVOL_VELO;1;ACTIF
GABC_DNB_EVOLUTION_PRIX;CTX_EVOL_BILLET;1;ACTIF
GABC_DNB_EVOLUTION_PRIX;CTX_EVOL_MATERIEL;1;ACTIF
GABC_DNB_EVOLUTION_PRIX;CTX_EVOL_ABONNEMENT;1;ACTIF
